fy_dc,per_cd,dept_cd,dept_nm,fund_cd,fund_nm,div_cd,div_nm,gp_cd,gp_nm,ocat_cd,ocat_nm,obj_cd,obj_nm,lgl_nm,vend_cust_cd,vend_cust_ind,rfed_doc_cd,rfed_doc_dept_cd,rfed_doc_id,comm_cd,comm_dscr,chk_eft_iss_dt,cvl_chk_sta_dv,rfed_vend_ln_no,rfed_comm_ln_no,rfed_actg_ln_no,rf_doc_cd,rf_doc_dept_cd,rf_doc_id,actg_ln_dscr,amount,cal_year,cal_month
SYNTHETIC FY_DC 0011,SYNTHETIC PER_CD 0011,SYNTHETIC DEPT_CD 0011,SYNTHETIC DEPT_NM 0011,SYNTHETIC FUND_CD 0011,SYNTHETIC FUND_NM 0011,SYNTHETIC DIV_CD 0011,SYNTHETIC DIV_NM 0011,SYNTHETIC GP_CD 0011,SYNTHETIC GP_NM 0011,SYNTHETIC OCAT_CD 0011,SYNTHETIC OCAT_NM 0011,SYNTHETIC OBJ_CD 0011,SYNTHETIC OBJ_NM 0011,EXAMPLE ORGANIZATION 0011,EXAMPLE ORGANIZATION 0011,SYNTHETIC VEND_CUST_IND 0011,SYNTHETIC RFED_DOC_CD 0011,SYNTHETIC RFED_DOC_DEPT_CD 0011,SYNTHETIC-0011,SYNTHETIC COMM_CD 0011,SYNTHETIC COMM_DSCR 0011,2000-01-11T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0011,SYNTHETIC RFED_VEND_LN_NO 0011,SYNTHETIC RFED_COMM_LN_NO 0011,SYNTHETIC RFED_ACTG_LN_NO 0011,SYNTHETIC RF_DOC_CD 0011,SYNTHETIC RF_DOC_DEPT_CD 0011,SYNTHETIC-0011,SYNTHETIC ACTG_LN_DSCR 0011,11.00,SYNTHETIC CAL_YEAR 0011,SYNTHETIC CAL_MONTH 0011
SYNTHETIC FY_DC 0012,SYNTHETIC PER_CD 0012,SYNTHETIC DEPT_CD 0012,SYNTHETIC DEPT_NM 0012,SYNTHETIC FUND_CD 0012,SYNTHETIC FUND_NM 0012,SYNTHETIC DIV_CD 0012,SYNTHETIC DIV_NM 0012,SYNTHETIC GP_CD 0012,SYNTHETIC GP_NM 0012,SYNTHETIC OCAT_CD 0012,SYNTHETIC OCAT_NM 0012,SYNTHETIC OBJ_CD 0012,SYNTHETIC OBJ_NM 0012,EXAMPLE ORGANIZATION 0012,EXAMPLE ORGANIZATION 0012,SYNTHETIC VEND_CUST_IND 0012,SYNTHETIC RFED_DOC_CD 0012,SYNTHETIC RFED_DOC_DEPT_CD 0012,SYNTHETIC-0012,SYNTHETIC COMM_CD 0012,SYNTHETIC COMM_DSCR 0012,2000-01-12T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0012,SYNTHETIC RFED_VEND_LN_NO 0012,SYNTHETIC RFED_COMM_LN_NO 0012,SYNTHETIC RFED_ACTG_LN_NO 0012,SYNTHETIC RF_DOC_CD 0012,SYNTHETIC RF_DOC_DEPT_CD 0012,SYNTHETIC-0012,SYNTHETIC ACTG_LN_DSCR 0012,12.00,SYNTHETIC CAL_YEAR 0012,SYNTHETIC CAL_MONTH 0012
SYNTHETIC FY_DC 0013,SYNTHETIC PER_CD 0013,SYNTHETIC DEPT_CD 0013,SYNTHETIC DEPT_NM 0013,SYNTHETIC FUND_CD 0013,SYNTHETIC FUND_NM 0013,SYNTHETIC DIV_CD 0013,SYNTHETIC DIV_NM 0013,SYNTHETIC GP_CD 0013,SYNTHETIC GP_NM 0013,SYNTHETIC OCAT_CD 0013,SYNTHETIC OCAT_NM 0013,SYNTHETIC OBJ_CD 0013,SYNTHETIC OBJ_NM 0013,EXAMPLE ORGANIZATION 0013,EXAMPLE ORGANIZATION 0013,SYNTHETIC VEND_CUST_IND 0013,SYNTHETIC RFED_DOC_CD 0013,SYNTHETIC RFED_DOC_DEPT_CD 0013,SYNTHETIC-0013,SYNTHETIC COMM_CD 0013,SYNTHETIC COMM_DSCR 0013,2000-01-13T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0013,SYNTHETIC RFED_VEND_LN_NO 0013,SYNTHETIC RFED_COMM_LN_NO 0013,SYNTHETIC RFED_ACTG_LN_NO 0013,SYNTHETIC RF_DOC_CD 0013,SYNTHETIC RF_DOC_DEPT_CD 0013,SYNTHETIC-0013,SYNTHETIC ACTG_LN_DSCR 0013,13.00,SYNTHETIC CAL_YEAR 0013,SYNTHETIC CAL_MONTH 0013
SYNTHETIC FY_DC 0014,SYNTHETIC PER_CD 0014,SYNTHETIC DEPT_CD 0014,SYNTHETIC DEPT_NM 0014,SYNTHETIC FUND_CD 0014,SYNTHETIC FUND_NM 0014,SYNTHETIC DIV_CD 0014,SYNTHETIC DIV_NM 0014,SYNTHETIC GP_CD 0014,SYNTHETIC GP_NM 0014,SYNTHETIC OCAT_CD 0014,SYNTHETIC OCAT_NM 0014,SYNTHETIC OBJ_CD 0014,SYNTHETIC OBJ_NM 0014,EXAMPLE ORGANIZATION 0014,EXAMPLE ORGANIZATION 0014,SYNTHETIC VEND_CUST_IND 0014,SYNTHETIC RFED_DOC_CD 0014,SYNTHETIC RFED_DOC_DEPT_CD 0014,SYNTHETIC-0014,SYNTHETIC COMM_CD 0014,SYNTHETIC COMM_DSCR 0014,2000-01-14T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0014,SYNTHETIC RFED_VEND_LN_NO 0014,SYNTHETIC RFED_COMM_LN_NO 0014,SYNTHETIC RFED_ACTG_LN_NO 0014,SYNTHETIC RF_DOC_CD 0014,SYNTHETIC RF_DOC_DEPT_CD 0014,SYNTHETIC-0014,SYNTHETIC ACTG_LN_DSCR 0014,14.00,SYNTHETIC CAL_YEAR 0014,SYNTHETIC CAL_MONTH 0014
SYNTHETIC FY_DC 0015,SYNTHETIC PER_CD 0015,SYNTHETIC DEPT_CD 0015,SYNTHETIC DEPT_NM 0015,SYNTHETIC FUND_CD 0015,SYNTHETIC FUND_NM 0015,SYNTHETIC DIV_CD 0015,SYNTHETIC DIV_NM 0015,SYNTHETIC GP_CD 0015,SYNTHETIC GP_NM 0015,SYNTHETIC OCAT_CD 0015,SYNTHETIC OCAT_NM 0015,SYNTHETIC OBJ_CD 0015,SYNTHETIC OBJ_NM 0015,EXAMPLE ORGANIZATION 0015,EXAMPLE ORGANIZATION 0015,SYNTHETIC VEND_CUST_IND 0015,SYNTHETIC RFED_DOC_CD 0015,SYNTHETIC RFED_DOC_DEPT_CD 0015,SYNTHETIC-0015,SYNTHETIC COMM_CD 0015,SYNTHETIC COMM_DSCR 0015,2000-01-15T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0015,SYNTHETIC RFED_VEND_LN_NO 0015,SYNTHETIC RFED_COMM_LN_NO 0015,SYNTHETIC RFED_ACTG_LN_NO 0015,SYNTHETIC RF_DOC_CD 0015,SYNTHETIC RF_DOC_DEPT_CD 0015,SYNTHETIC-0015,SYNTHETIC ACTG_LN_DSCR 0015,15.00,SYNTHETIC CAL_YEAR 0015,SYNTHETIC CAL_MONTH 0015
SYNTHETIC FY_DC 0016,SYNTHETIC PER_CD 0016,SYNTHETIC DEPT_CD 0016,SYNTHETIC DEPT_NM 0016,SYNTHETIC FUND_CD 0016,SYNTHETIC FUND_NM 0016,SYNTHETIC DIV_CD 0016,SYNTHETIC DIV_NM 0016,SYNTHETIC GP_CD 0016,SYNTHETIC GP_NM 0016,SYNTHETIC OCAT_CD 0016,SYNTHETIC OCAT_NM 0016,SYNTHETIC OBJ_CD 0016,SYNTHETIC OBJ_NM 0016,EXAMPLE ORGANIZATION 0016,EXAMPLE ORGANIZATION 0016,SYNTHETIC VEND_CUST_IND 0016,SYNTHETIC RFED_DOC_CD 0016,SYNTHETIC RFED_DOC_DEPT_CD 0016,SYNTHETIC-0016,SYNTHETIC COMM_CD 0016,SYNTHETIC COMM_DSCR 0016,2000-01-16T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0016,SYNTHETIC RFED_VEND_LN_NO 0016,SYNTHETIC RFED_COMM_LN_NO 0016,SYNTHETIC RFED_ACTG_LN_NO 0016,SYNTHETIC RF_DOC_CD 0016,SYNTHETIC RF_DOC_DEPT_CD 0016,SYNTHETIC-0016,SYNTHETIC ACTG_LN_DSCR 0016,16.00,SYNTHETIC CAL_YEAR 0016,SYNTHETIC CAL_MONTH 0016
SYNTHETIC FY_DC 0017,SYNTHETIC PER_CD 0017,SYNTHETIC DEPT_CD 0017,SYNTHETIC DEPT_NM 0017,SYNTHETIC FUND_CD 0017,SYNTHETIC FUND_NM 0017,SYNTHETIC DIV_CD 0017,SYNTHETIC DIV_NM 0017,SYNTHETIC GP_CD 0017,SYNTHETIC GP_NM 0017,SYNTHETIC OCAT_CD 0017,SYNTHETIC OCAT_NM 0017,SYNTHETIC OBJ_CD 0017,SYNTHETIC OBJ_NM 0017,EXAMPLE ORGANIZATION 0017,EXAMPLE ORGANIZATION 0017,SYNTHETIC VEND_CUST_IND 0017,SYNTHETIC RFED_DOC_CD 0017,SYNTHETIC RFED_DOC_DEPT_CD 0017,SYNTHETIC-0017,,,2000-01-17T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0017,SYNTHETIC RFED_VEND_LN_NO 0017,SYNTHETIC RFED_COMM_LN_NO 0017,SYNTHETIC RFED_ACTG_LN_NO 0017,,,,SYNTHETIC ACTG_LN_DSCR 0017,17.00,SYNTHETIC CAL_YEAR 0017,SYNTHETIC CAL_MONTH 0017
SYNTHETIC FY_DC 0018,SYNTHETIC PER_CD 0018,SYNTHETIC DEPT_CD 0018,SYNTHETIC DEPT_NM 0018,SYNTHETIC FUND_CD 0018,SYNTHETIC FUND_NM 0018,SYNTHETIC DIV_CD 0018,SYNTHETIC DIV_NM 0018,SYNTHETIC GP_CD 0018,SYNTHETIC GP_NM 0018,SYNTHETIC OCAT_CD 0018,SYNTHETIC OCAT_NM 0018,SYNTHETIC OBJ_CD 0018,SYNTHETIC OBJ_NM 0018,EXAMPLE ORGANIZATION 0018,EXAMPLE ORGANIZATION 0018,SYNTHETIC VEND_CUST_IND 0018,SYNTHETIC RFED_DOC_CD 0018,SYNTHETIC RFED_DOC_DEPT_CD 0018,SYNTHETIC-0018,SYNTHETIC COMM_CD 0018,SYNTHETIC COMM_DSCR 0018,2000-01-18T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0018,SYNTHETIC RFED_VEND_LN_NO 0018,SYNTHETIC RFED_COMM_LN_NO 0018,SYNTHETIC RFED_ACTG_LN_NO 0018,SYNTHETIC RF_DOC_CD 0018,SYNTHETIC RF_DOC_DEPT_CD 0018,SYNTHETIC-0018,SYNTHETIC ACTG_LN_DSCR 0018,18.00,SYNTHETIC CAL_YEAR 0018,SYNTHETIC CAL_MONTH 0018
SYNTHETIC FY_DC 0019,SYNTHETIC PER_CD 0019,SYNTHETIC DEPT_CD 0019,SYNTHETIC DEPT_NM 0019,SYNTHETIC FUND_CD 0019,SYNTHETIC FUND_NM 0019,SYNTHETIC DIV_CD 0019,SYNTHETIC DIV_NM 0019,SYNTHETIC GP_CD 0019,SYNTHETIC GP_NM 0019,SYNTHETIC OCAT_CD 0019,SYNTHETIC OCAT_NM 0019,SYNTHETIC OBJ_CD 0019,SYNTHETIC OBJ_NM 0019,EXAMPLE ORGANIZATION 0019,EXAMPLE ORGANIZATION 0019,SYNTHETIC VEND_CUST_IND 0019,SYNTHETIC RFED_DOC_CD 0019,SYNTHETIC RFED_DOC_DEPT_CD 0019,SYNTHETIC-0019,,,2000-01-19T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0019,SYNTHETIC RFED_VEND_LN_NO 0019,SYNTHETIC RFED_COMM_LN_NO 0019,SYNTHETIC RFED_ACTG_LN_NO 0019,,,,SYNTHETIC ACTG_LN_DSCR 0019,19.00,SYNTHETIC CAL_YEAR 0019,SYNTHETIC CAL_MONTH 0019
SYNTHETIC FY_DC 0020,SYNTHETIC PER_CD 0020,SYNTHETIC DEPT_CD 0020,SYNTHETIC DEPT_NM 0020,SYNTHETIC FUND_CD 0020,SYNTHETIC FUND_NM 0020,SYNTHETIC DIV_CD 0020,SYNTHETIC DIV_NM 0020,SYNTHETIC GP_CD 0020,SYNTHETIC GP_NM 0020,SYNTHETIC OCAT_CD 0020,SYNTHETIC OCAT_NM 0020,SYNTHETIC OBJ_CD 0020,SYNTHETIC OBJ_NM 0020,EXAMPLE ORGANIZATION 0020,EXAMPLE ORGANIZATION 0020,SYNTHETIC VEND_CUST_IND 0020,SYNTHETIC RFED_DOC_CD 0020,SYNTHETIC RFED_DOC_DEPT_CD 0020,SYNTHETIC-0020,,,2000-01-20T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0020,SYNTHETIC RFED_VEND_LN_NO 0020,SYNTHETIC RFED_COMM_LN_NO 0020,SYNTHETIC RFED_ACTG_LN_NO 0020,,,,SYNTHETIC ACTG_LN_DSCR 0020,20.00,SYNTHETIC CAL_YEAR 0020,SYNTHETIC CAL_MONTH 0020
