doc_cd,doc_dept_cd,doc_id,doc_vers_no,doc_dscr,contract_synopsis,ma_prch_lmt_am,ma_itd_ord_am,ma_do_rfed_am,efbgn_dt,efend_dt,gnrc_po_rpt_1,rpt_dscr,brd_awd_dt,brd_awd_no,cat_dscr,doc_vend_ln_no,vend_cust_cd,lgl_nm,alias_nm,so_doc_cd,so_doc_dept_cd,so_doc_id,today,row_key
SYNTHETIC DOC_CD 0011,SYNTHETIC DOC_DEPT_CD 0011,SYNTHETIC-0011,SYNTHETIC DOC_VERS_NO 0011,SYNTHETIC DOC_DSCR 0011,,11.00,11.00,11.00,2000-01-11T00:00:00.000,2000-01-11T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0011,SYNTHETIC RPT_DSCR 0011,2000-01-11T00:00:00.000,SYNTHETIC BRD_AWD_NO 0011,SYNTHETIC CAT_DSCR 0011,SYNTHETIC DOC_VEND_LN_NO 0011,EXAMPLE ORGANIZATION 0011,EXAMPLE ORGANIZATION 0011,EXAMPLE ORGANIZATION 0011,SYNTHETIC SO_DOC_CD 0011,SYNTHETIC SO_DOC_DEPT_CD 0011,SYNTHETIC-0011,2000-01-11T00:00:00.000,SYNTHETIC ROW_KEY 0011
SYNTHETIC DOC_CD 0012,SYNTHETIC DOC_DEPT_CD 0012,SYNTHETIC-0012,SYNTHETIC DOC_VERS_NO 0012,SYNTHETIC DOC_DSCR 0012,,12.00,12.00,12.00,2000-01-12T00:00:00.000,2000-01-12T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0012,SYNTHETIC RPT_DSCR 0012,2000-01-12T00:00:00.000,SYNTHETIC BRD_AWD_NO 0012,SYNTHETIC CAT_DSCR 0012,SYNTHETIC DOC_VEND_LN_NO 0012,EXAMPLE ORGANIZATION 0012,EXAMPLE ORGANIZATION 0012,EXAMPLE ORGANIZATION 0012,SYNTHETIC SO_DOC_CD 0012,SYNTHETIC SO_DOC_DEPT_CD 0012,SYNTHETIC-0012,2000-01-12T00:00:00.000,SYNTHETIC ROW_KEY 0012
SYNTHETIC DOC_CD 0013,SYNTHETIC DOC_DEPT_CD 0013,SYNTHETIC-0013,SYNTHETIC DOC_VERS_NO 0013,SYNTHETIC DOC_DSCR 0013,,13.00,13.00,13.00,2000-01-13T00:00:00.000,2000-01-13T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0013,SYNTHETIC RPT_DSCR 0013,2000-01-13T00:00:00.000,SYNTHETIC BRD_AWD_NO 0013,SYNTHETIC CAT_DSCR 0013,SYNTHETIC DOC_VEND_LN_NO 0013,EXAMPLE ORGANIZATION 0013,EXAMPLE ORGANIZATION 0013,EXAMPLE ORGANIZATION 0013,SYNTHETIC SO_DOC_CD 0013,SYNTHETIC SO_DOC_DEPT_CD 0013,SYNTHETIC-0013,2000-01-13T00:00:00.000,SYNTHETIC ROW_KEY 0013
SYNTHETIC DOC_CD 0014,SYNTHETIC DOC_DEPT_CD 0014,SYNTHETIC-0014,SYNTHETIC DOC_VERS_NO 0014,SYNTHETIC DOC_DSCR 0014,,14.00,14.00,14.00,2000-01-14T00:00:00.000,2000-01-14T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0014,SYNTHETIC RPT_DSCR 0014,2000-01-14T00:00:00.000,SYNTHETIC BRD_AWD_NO 0014,SYNTHETIC CAT_DSCR 0014,SYNTHETIC DOC_VEND_LN_NO 0014,EXAMPLE ORGANIZATION 0014,EXAMPLE ORGANIZATION 0014,EXAMPLE ORGANIZATION 0014,SYNTHETIC SO_DOC_CD 0014,SYNTHETIC SO_DOC_DEPT_CD 0014,SYNTHETIC-0014,2000-01-14T00:00:00.000,SYNTHETIC ROW_KEY 0014
SYNTHETIC DOC_CD 0015,SYNTHETIC DOC_DEPT_CD 0015,SYNTHETIC-0015,SYNTHETIC DOC_VERS_NO 0015,SYNTHETIC DOC_DSCR 0015,,15.00,15.00,15.00,2000-01-15T00:00:00.000,2000-01-15T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0015,SYNTHETIC RPT_DSCR 0015,2000-01-15T00:00:00.000,SYNTHETIC BRD_AWD_NO 0015,SYNTHETIC CAT_DSCR 0015,SYNTHETIC DOC_VEND_LN_NO 0015,EXAMPLE ORGANIZATION 0015,EXAMPLE ORGANIZATION 0015,EXAMPLE ORGANIZATION 0015,SYNTHETIC SO_DOC_CD 0015,SYNTHETIC SO_DOC_DEPT_CD 0015,SYNTHETIC-0015,2000-01-15T00:00:00.000,SYNTHETIC ROW_KEY 0015
SYNTHETIC DOC_CD 0016,SYNTHETIC DOC_DEPT_CD 0016,SYNTHETIC-0016,SYNTHETIC DOC_VERS_NO 0016,SYNTHETIC DOC_DSCR 0016,,16.00,16.00,16.00,2000-01-16T00:00:00.000,2000-01-16T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0016,SYNTHETIC RPT_DSCR 0016,2000-01-16T00:00:00.000,SYNTHETIC BRD_AWD_NO 0016,SYNTHETIC CAT_DSCR 0016,SYNTHETIC DOC_VEND_LN_NO 0016,EXAMPLE ORGANIZATION 0016,EXAMPLE ORGANIZATION 0016,EXAMPLE ORGANIZATION 0016,SYNTHETIC SO_DOC_CD 0016,SYNTHETIC SO_DOC_DEPT_CD 0016,SYNTHETIC-0016,2000-01-16T00:00:00.000,SYNTHETIC ROW_KEY 0016
SYNTHETIC DOC_CD 0017,SYNTHETIC DOC_DEPT_CD 0017,SYNTHETIC-0017,SYNTHETIC DOC_VERS_NO 0017,SYNTHETIC DOC_DSCR 0017,,17.00,17.00,17.00,2000-01-17T00:00:00.000,2000-01-17T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0017,SYNTHETIC RPT_DSCR 0017,2000-01-17T00:00:00.000,SYNTHETIC BRD_AWD_NO 0017,SYNTHETIC CAT_DSCR 0017,SYNTHETIC DOC_VEND_LN_NO 0017,EXAMPLE ORGANIZATION 0017,EXAMPLE ORGANIZATION 0017,EXAMPLE ORGANIZATION 0017,SYNTHETIC SO_DOC_CD 0017,SYNTHETIC SO_DOC_DEPT_CD 0017,SYNTHETIC-0017,2000-01-17T00:00:00.000,SYNTHETIC ROW_KEY 0017
SYNTHETIC DOC_CD 0018,SYNTHETIC DOC_DEPT_CD 0018,SYNTHETIC-0018,SYNTHETIC DOC_VERS_NO 0018,SYNTHETIC DOC_DSCR 0018,,18.00,18.00,18.00,2000-01-18T00:00:00.000,2000-01-18T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0018,SYNTHETIC RPT_DSCR 0018,2000-01-18T00:00:00.000,SYNTHETIC BRD_AWD_NO 0018,SYNTHETIC CAT_DSCR 0018,SYNTHETIC DOC_VEND_LN_NO 0018,EXAMPLE ORGANIZATION 0018,EXAMPLE ORGANIZATION 0018,EXAMPLE ORGANIZATION 0018,SYNTHETIC SO_DOC_CD 0018,SYNTHETIC SO_DOC_DEPT_CD 0018,SYNTHETIC-0018,2000-01-18T00:00:00.000,SYNTHETIC ROW_KEY 0018
SYNTHETIC DOC_CD 0019,SYNTHETIC DOC_DEPT_CD 0019,SYNTHETIC-0019,SYNTHETIC DOC_VERS_NO 0019,SYNTHETIC DOC_DSCR 0019,,19.00,19.00,19.00,2000-01-19T00:00:00.000,2000-01-19T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0019,SYNTHETIC RPT_DSCR 0019,2000-01-19T00:00:00.000,SYNTHETIC BRD_AWD_NO 0019,SYNTHETIC CAT_DSCR 0019,SYNTHETIC DOC_VEND_LN_NO 0019,EXAMPLE ORGANIZATION 0019,EXAMPLE ORGANIZATION 0019,EXAMPLE ORGANIZATION 0019,SYNTHETIC SO_DOC_CD 0019,SYNTHETIC SO_DOC_DEPT_CD 0019,SYNTHETIC-0019,2000-01-19T00:00:00.000,SYNTHETIC ROW_KEY 0019
SYNTHETIC DOC_CD 0020,SYNTHETIC DOC_DEPT_CD 0020,SYNTHETIC-0020,SYNTHETIC DOC_VERS_NO 0020,SYNTHETIC DOC_DSCR 0020,,20.00,20.00,20.00,2000-01-20T00:00:00.000,2000-01-20T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0020,SYNTHETIC RPT_DSCR 0020,2000-01-20T00:00:00.000,SYNTHETIC BRD_AWD_NO 0020,SYNTHETIC CAT_DSCR 0020,SYNTHETIC DOC_VEND_LN_NO 0020,EXAMPLE ORGANIZATION 0020,EXAMPLE ORGANIZATION 0020,EXAMPLE ORGANIZATION 0020,SYNTHETIC SO_DOC_CD 0020,SYNTHETIC SO_DOC_DEPT_CD 0020,SYNTHETIC-0020,2000-01-20T00:00:00.000,SYNTHETIC ROW_KEY 0020
